adx,sl_m,trail_dist,tp_m,trail_act,n,wins,losses,tp_x,trail_x,sl_x,wr,net_pct,mdd,calmar
30,1.2,0.3,2.0,2.0,19,12,7,0,12,7,63.2,9.8,-3.49,2.81
30,1.2,0.3,3.0,2.0,19,12,7,0,12,7,63.2,9.8,-3.49,2.81
33,0.8,0.7,2.0,3.0,14,8,6,7,1,6,57.1,9.7,-3.73,2.6
33,1.0,0.7,2.0,3.0,14,9,5,8,1,5,64.3,9.66,-3.58,2.7
35,0.8,0.2,4.0,2.0,12,7,5,0,7,5,58.3,9.61,-2.58,3.72
35,1.2,0.5,4.0,2.0,11,9,2,0,9,2,81.8,9.61,-1.36,7.04
35,1.2,0.5,2.0,2.0,11,9,2,0,9,2,81.8,9.61,-1.36,7.04
35,1.2,0.5,3.0,2.0,11,9,2,0,9,2,81.8,9.61,-1.36,7.04
35,0.8,0.2,2.0,2.0,12,7,5,0,7,5,58.3,9.61,-2.58,3.72
35,0.8,0.2,3.0,2.0,12,7,5,0,7,5,58.3,9.61,-2.58,3.72
30,1.2,0.5,2.0,3.0,19,12,7,10,2,7,63.2,9.6,-3.49,2.75
35,1.0,0.2,2.0,3.0,12,8,4,7,1,4,66.7,9.6,-2.47,3.89
30,1.5,0.2,4.0,2.0,19,13,6,0,13,6,68.4,9.53,-3.38,2.82
30,1.5,0.2,3.0,2.0,19,13,6,0,13,6,68.4,9.53,-3.38,2.82
30,1.5,0.2,2.0,2.0,19,13,6,0,13,6,68.4,9.53,-3.38,2.82
35,1.0,0.3,2.0,3.0,12,8,4,7,1,4,66.7,9.5,-2.47,3.85
33,1.2,0.5,4.0,2.0,13,10,3,0,10,3,76.9,9.48,-2.33,4.08
33,1.2,0.5,3.0,2.0,13,10,3,0,10,3,76.9,9.48,-2.33,4.08
33,1.2,0.5,2.0,2.0,13,10,3,0,10,3,76.9,9.48,-2.33,4.08
35,1.2,0.2,3.0,3.0,11,6,5,0,6,5,54.5,9.44,-2.39,3.96
35,1.2,0.2,4.0,3.0,11,6,5,0,6,5,54.5,9.44,-2.39,3.96
33,1.0,0.3,2.0,2.0,14,9,5,0,9,5,64.3,9.43,-3.58,2.64
33,1.0,0.3,3.0,2.0,14,9,5,0,9,5,64.3,9.43,-3.58,2.64
33,1.0,0.3,4.0,2.0,14,9,5,0,9,5,64.3,9.43,-3.58,2.64
28,1.5,0.7,4.0,3.0,24,13,11,0,13,11,54.2,9.39,-3.8,2.47
28,1.5,0.7,3.0,3.0,24,13,11,0,13,11,54.2,9.39,-3.8,2.47
35,1.5,0.5,4.0,2.0,11,10,1,0,10,1,90.9,9.38,-1.18,7.96
35,1.5,0.5,3.0,2.0,11,10,1,0,10,1,90.9,9.38,-1.18,7.96
35,1.5,0.5,2.0,2.0,11,10,1,0,10,1,90.9,9.38,-1.18,7.96
35,0.8,0.2,2.0,3.0,12,7,5,6,1,5,58.3,9.35,-2.58,3.62
33,1.5,0.3,3.0,3.0,12,7,5,0,7,5,58.3,9.34,-3.37,2.77
33,1.0,1.0,2.0,3.0,14,9,5,8,1,5,64.3,9.34,-3.58,2.61
33,1.5,0.3,4.0,3.0,12,7,5,0,7,5,58.3,9.34,-3.37,2.77
33,0.8,0.3,2.0,2.0,14,8,6,0,8,6,57.1,9.3,-3.73,2.49
33,0.8,0.3,3.0,2.0,14,8,6,0,8,6,57.1,9.3,-3.73,2.49
33,0.8,0.3,4.0,2.0,14,8,6,0,8,6,57.1,9.3,-3.73,2.49
33,0.8,1.0,2.0,3.0,14,8,6,7,1,6,57.1,9.3,-3.73,2.49
33,1.1,0.7,4.0,3.0,13,7,6,0,7,6,53.8,9.28,-3.52,2.64
33,1.1,0.7,3.0,3.0,13,7,6,0,7,6,53.8,9.28,-3.52,2.64
35,1.2,0.7,3.0,2.0,11,9,2,0,9,2,81.8,9.28,-1.36,6.8
